nom_offre,volume_internet_go,appels,sms,sms_autres,credit,validite_jours,prix_da
Djezzy Legend 200 GO,200 GO,Illimités vers tous les réseaux,Illimités,30 SMS,,30 jours,4000
Djezzy Legend 145 GO,145 GO,Illimités vers tous les réseaux,Illimités,25 SMS,,30 jours,3000
Djezzy Legend 120 GO,120 GO,Illimités vers tous les réseaux,Illimités,20 SMS,,30 jours,2500
Djezzy Legend 90 GO,90 GO,Illimités vers Djezzy,Illimités,350 Min + 20 SMS,,30 jours,2000
Djezzy Legend 70 GO,70 GO,Illimités vers tous les réseaux,Illimités,50 SMS,,30 jours,2000
Djezzy Legend 45 GO,45 GO,Illimités vers Djezzy,Illimités,,3000 DA,30 jours,1500
Djezzy Legend 15 GO,15 GO,Illimités vers Djezzy,Illimités,,2000 DA,30 jours,1000
Djezzy Legend 1 GO,1 GO,Illimités vers Djezzy,Illimités,,300 DA,24 H,100
