nom_offre,volume_internet_go,appels_vers_djezzy,appels_recus,sms,validite_jours,prix_da,zone_utilisation,bonus
Roaming Hadj & Omra 3 Go,3 Go,30 min vers Djezzy,10 min appels reçus,10 SMS,7 jours,1000 DA,Arabie Saoudite,SIM gratuite + 1 Go + 10 min vers Djezzy valables 48h depuis les lieux saints
Roaming Hadj & Omra 12 Go,12 Go,Illimité vers Djezzy,20 min appels reçus,10 SMS,35 jours,2000 DA,Arabie Saoudite,SIM gratuite + 1 Go + 10 min vers Djezzy valables 48h depuis les lieux saints
Roaming Hadj & Omra 20 Go,20 Go,Illimité vers Djezzy,40 min appels reçus,10 SMS,35 jours,4000 DA,Arabie Saoudite,SIM gratuite + 1 Go + 10 min vers Djezzy valables 48h depuis les lieux saints
Informations Générales,Les forfaits sont utilisables uniquement en Arabie Saoudite,Recharge possible via *720# avant le départ,Recharge disponible via le portail Djezzy,En cas de problème : appeler le 700,Passeport et visa Hadj requis,,,
