nom_offre,volume_internet_go,appels,sms,avantages,avantages_internationaux,numero_offert,prix_da,validite_jours
Djezzy Legend Max 70Go,70 Go,Illimité appels vers tous les réseaux nationaux,Illimité SMS vers Djezzy,100 SMS vers autres réseaux nationaux,200 DA vers l'international,1 numéro 0770,2000 DA,1 Mois
Djezzy Legend Max 100Go,100 Go,Illimité appels vers tous les réseaux nationaux,Illimité SMS vers Djezzy,150 SMS vers autres réseaux nationaux,500 DA vers l'international,1 numéro 0770,2500 DA,1 Mois
Djezzy 50Go,50 Go,Illimité appels & SMS vers Djezzy,,2000 DA appels & SMS vers le national et international,,1 numéro 0770,1500 DA,1 Mois
Djezzy 80Go,80 Go,Illimité appels & SMS vers Djezzy,,4000 DA appels & SMS vers le national,15 min vers l'international,1 numéro 0770,2000 DA,1 Mois
Djezzy 150Go,150 Go,Illimité appels & SMS vers Djezzy,,6000 DA appels & SMS vers le national,30 min vers l'international,1 numéro 0770,3000 DA,1 Mois
