nom_offre,volume_internet_go,appels,sms,avantages,credit,validite_jours,prix_da
Student Campuce 1600,70 GB,Appels illimités en national,SMS illimités vers Djezzy,50 SMS vers autres réseaux,,30 jours,1600 DA
Student Campuce 1200,40 GB,Appels illimités vers Djezzy,SMS illimités vers Djezzy,,3000 DA crédit,30 jours,1200 DA
Student Campuce 800,15 GB,Appels illimités vers Djezzy,SMS illimités vers Djezzy,,2000 DA crédit,30 jours,800 DA
Student Campuce 400,5 GB,Appels illimités vers Djezzy,SMS illimités vers Djezzy,,500 DA crédit,30 jours,400 DA
Student Campuce 150,,Appels illimités vers Djezzy,SMS illimités vers Djezzy,WhatsApp illimité + Facebook illimité,,24 heures,150 DA
Student Campuce 100,1 GB,Appels illimités vers Djezzy,SMS illimités vers Djezzy,,300 DA crédit,24 heures,100 DA
Student Campuce 50,,1 numéro favori ou 60 min vers Djezzy,SMS illimités vers Djezzy,,10 min vers autres réseaux,24 heures,50 DA
