nom_offre,volume_internet_go,appels,avantages,prix_da,validite_jours,option_2eme_sim,prix_option_2eme_sim
Confort 1500,50 Go,Illimité appels & SMS vers Djezzy,2000 DA appels & SMS vers national et international,1500 DA,1 mois,5 Go,50 DA
Confort 1500,50 Go,Illimité appels & SMS vers Djezzy,2000 DA appels & SMS vers national et international,1500 DA,1 mois,20 Go,150 DA
Confort 2000,80 Go,Illimité appels & SMS vers Djezzy,4000 DA appels & SMS vers national,2000 DA,1 mois,10 Go,50 DA
Confort 2000,80 Go,Illimité appels & SMS vers Djezzy,4000 DA appels & SMS vers national,2000 DA,1 mois,35 Go,150 DA
Confort 3000,150 Go,Illimité appels & SMS vers Djezzy,6000 DA appels & SMS vers national,3000 DA,1 mois,15 Go,50 DA
Confort 3000,150 Go,Illimité appels & SMS vers Djezzy,6000 DA appels & SMS vers national,3000 DA,1 mois,60 Go,150 DA
