internet,unlimited_calls,sms_djezzy,sms_other,international,number,credit,price,validity
70 Go,ILLIMITÉ Appels vers tous les réseaux nationaux,ILLIMITÉ SMS vers djezzy,100 SMS vers les autres réseaux nationaux,200 DA Vers l'international,UN NUMÉRO 0770,2000 DA,2000 DA,Pour 2000 DA / Mois
100 Go,ILLIMITÉ Appels vers tous les réseaux nationaux,ILLIMITÉ SMS vers djezzy,150 SMS vers les autres réseaux nationaux,500 DA Vers l'international,UN NUMÉRO 0770,5000 DA,2500 DA,Pour 2500 DA / Mois
50 Go,ILLIMITÉ APPELS & SMS VERS DJEZZY,ILLIMITÉ APPELS & SMS VERS DJEZZY,,,UN NUMÉRO 0770,2000 DA,1500 DA,Pour 1500 DA / Mois
80 Go,ILLIMITÉ APPELS & SMS VERS DJEZZY,ILLIMITÉ APPELS & SMS VERS DJEZZY,4000 DA VERS LE NATIONAL,15 MIN* VERS L'INTERNATIONAL,UN NUMÉRO 0770,4000 DA,2000 DA,Pour 2000 DA / Mois
150 Go,ILLIMITÉ APPELS & SMS VERS DJEZZY,ILLIMITÉ APPELS & SMS VERS DJEZZY,6000 DA VERS LE NATIONAL,30 MIN* VERS L'INTERNATIONAL,UN NUMÉRO 0770,3000 DA,3000 DA,Pour 3000 DA / Mois
