price,internet,calls,sms_djezzy,sms_other,credit,social_free,validity
1 600 DA,70 GB INTERNET,"APPELS ILLIMITÉS
EN NATIONAL","SMS ILLIMITÉS
VERS DJEZZY",50 SMS VERS AUTRES RÉSEAUX,,,30 jours
1 200 DA,40 GB INTERNET,APPELS ILLIMITÉS VERS DJEZZY,"SMS ILLIMITÉS
VERS DJEZZY",,"3 000 DA
CRÈDIT",,30 jours
800 DA,15 GB INTERNET,APPELS ILLIMITÉS VERS DJEZZY,"SMS ILLIMITÉS
VERS DJEZZY",,"2 000 DA
CRÈDIT",,30 jours
400 DA,5 GB INTERNET,APPELS ILLIMITÉS VERS DJEZZY,"SMS ILLIMITÉS
VERS DJEZZY",,"500 DA
CRÈDIT",,30 jours
150 DA,,"APPELS ILLIMITÉS
VERS DJEZZY",SMS ILLIMITÉS VERS DJEZZY,,,WHATSAPP ILLIMITÉ | FACEBOOK ILLIMITÉ,24H
100 DA,1 GB INTERNET,"APPELS ILLIMITÉS
VERS DJEZZY",SMS ILLIMITÉS VERS DJEZZY,,"300 DA
CRÈDIT",,24H
50 DA,,,SMS ILLIMITÉS VERS DJEZZY,"10 MIN VERS
AUTRES RÉSEAUX",,,24H
