Nom_Offre,Volume_Internet_GO,Ecrans,Appareils,Prix_DA,Validite_Jours
TOD MOBILE,5 GO,1 Ecran,1 Appareil,800 DA,30 Jours
TOD 24 HEURES,1 GO,1 Ecran,5 Appareils,350 DA,24 Heures
TOD 7 JOURS,1 GO,1 Ecran,5 Appareils,500 DA,7 Jours
TOD 1 MOIS,10 GO,1 Ecran,5 Appareils,1800 DA,30 Jours
TOD 3 MOIS,20 GO,1 Ecran,5 Appareils,5000 DA,90 Jours
TOD 6 MOIS,40 GO,1 Ecran,5 Appareils,9800 DA,180 Jours
TOD 12 MOIS,100 GO,1 Ecran,5 Appareils,18000 DA,365 Jours
TOD 4K,15 GO,2 Ecrans,5 Appareils,2800 DA,30 Jours
