price,internet,calls,sms_djezzy,sms_other,credit,social_free,validity
2 500 DA,100 Go,"APPELS ILLIMITÉS
EN NATIONAL","SMS ILLIMITÉS
VERS DJEZZY","100 SMS
VERS LES AUTRES RÉSEAUX NATIONAUX",,,30 JOURS
2 000 DA,70 Go,"APPELS ILLIMITÉS
EN NATIONAL","SMS ILLIMITÉS
VERS DJEZZY","50 SMS
VERS LES AUTRES RÉSEAUX NATIONAUX",,,30 JOURS
1 500 DA,40 Go,"APPELS ILLIMITÉS
VERS DJEZZY","SMS ILLIMITÉS
VERS DJEZZY",,"3000 DA
CRÈDIT",,30 JOURS
1 000 DA,15 Go,"APPELS ILLIMITÉS
VERS DJEZZY","SMS ILLIMITÉS
VERS DJEZZY",,"2000 DA
CRÈDIT",,30 JOURS
150 DA,,"APPELS ILLIMITÉS
VERS DJEZZY","SMS ILLIMITÉS
VERS DJEZZY",,,"WhatsApp
FREE",24 H
100 DA,1 Go,"APPELS ILLIMITÉS
VERS DJEZZY","SMS ILLIMITÉS
VERS DJEZZY",,"300 DA
CRÈDIT",,24 H
50 DA,,"10 Min Appels
VERS AUTRES RÉSEAUX","SMS ILLIMITÉS
VERS DJEZZY",,,,24 H
